Country_Name,Year,Yield_Potato
Sri Lanka,2013,153210
Sri Lanka,2014,153536
Sri Lanka,2015,158257
Sri Lanka,2016,158009
Sri Lanka,2017,164591
Sri Lanka,2018,171815
Sri Lanka,2019,187123
Sri Lanka,2020,182578
Sri Lanka,2021,164188
Tajikistan,1992,128769
Tajikistan,1993,120492
Tajikistan,1994,111667
Tajikistan,1995,279000
Tajikistan,1996,107700
Tajikistan,1997,100289
Tajikistan,1998,104926
Tajikistan,1999,117128
Tajikistan,2000,119046
Tajikistan,2001,132600
Tajikistan,2002,158022
Tajikistan,2003,182134
Tajikistan,2004,183006
Tajikistan,2005,196227
Tajikistan,2006,198508
Tajikistan,2007,218368
Tajikistan,2008,237053
Tajikistan,2009,231535
Tajikistan,2010,239308
Tajikistan,2011,235049
Tajikistan,2012,237444
Tajikistan,2013,251396
Tajikistan,2014,240199
Tajikistan,2015,223070
Tajikistan,2016,216013
Tajikistan,2017,192759
Tajikistan,2018,194318
Tajikistan,2019,192809
Tajikistan,2020,184306
Tajikistan,2021,155048
Turkmenistan,1992,116667
Turkmenistan,1993,80000
Turkmenistan,1994,23077
Turkmenistan,1995,52500
Turkmenistan,1996,83874
Turkmenistan,1997,107134
Turkmenistan,1998,128665
Turkmenistan,1999,148145
Turkmenistan,2000,176163
Turkmenistan,2001,183518
Turkmenistan,2002,219335
Turkmenistan,2003,220846
Turkmenistan,2004,222124
Turkmenistan,2005,219851
Turkmenistan,2006,213906
Turkmenistan,2007,222523
Turkmenistan,2008,187656
Turkmenistan,2009,177482
Turkmenistan,2010,172138
Turkmenistan,2011,166556
Turkmenistan,2012,173594
Turkmenistan,2013,194670
Turkmenistan,2014,211019
Turkmenistan,2015,185526
Turkmenistan,2016,189780
Turkmenistan,2017,178296
Turkmenistan,2018,167980
Turkmenistan,2019,153549
Turkmenistan,2020,148826
Turkmenistan,2021,144127
Uzbekistan,1992,85115
Uzbekistan,1993,106157
Uzbekistan,1994,107000
Uzbekistan,1995,95839
Uzbekistan,1996,115937
Uzbekistan,1997,120122
Uzbekistan,1998,126399
Uzbekistan,1999,135629
Uzbekistan,2000,140057
Uzbekistan,2001,146535
Uzbekistan,2002,158937
Uzbekistan,2003,169593
Uzbekistan,2004,171793
Uzbekistan,2005,185541
Uzbekistan,2006,194141
Uzbekistan,2007,213831
Uzbekistan,2008,233506
Uzbekistan,2009,243710
Uzbekistan,2010,239717
Uzbekistan,2011,253071
Uzbekistan,2012,270329
Uzbekistan,2013,287407
Uzbekistan,2014,305405
Uzbekistan,2015,334605
Uzbekistan,2016,329901
Uzbekistan,2017,357016
Uzbekistan,2018,336862
Uzbekistan,2019,346394
Uzbekistan,2020,339498
Uzbekistan,2021,334692
