Country_Name,Year,Yield_Wheat
Tajikistan,2021,31010
Turkmenistan,1992,19137
Turkmenistan,1993,19577
Turkmenistan,1994,25763
Turkmenistan,1995,15904
Turkmenistan,1996,7759
Turkmenistan,1997,14252
Turkmenistan,1998,24904
Turkmenistan,1999,25097
Turkmenistan,2000,24143
Turkmenistan,2001,25143
Turkmenistan,2002,31863
Turkmenistan,2003,29259
Turkmenistan,2004,31707
Turkmenistan,2005,31489
Turkmenistan,2006,35243
Turkmenistan,2007,13000
Turkmenistan,2008,11000
Turkmenistan,2009,16000
Turkmenistan,2010,17000
Turkmenistan,2011,13619
Turkmenistan,2012,12563
Turkmenistan,2013,11954
Turkmenistan,2014,12632
Turkmenistan,2015,12206
Turkmenistan,2016,14756
Turkmenistan,2017,11100
Turkmenistan,2018,16036
Turkmenistan,2019,21726
Turkmenistan,2020,21415
Turkmenistan,2021,19862
Uzbekistan,1992,16625
Uzbekistan,1993,13585
Uzbekistan,1994,15150
Uzbekistan,1995,21421
Uzbekistan,1996,20635
Uzbekistan,1997,21994
Uzbekistan,1998,26334
Uzbekistan,1999,26460
Uzbekistan,2000,27174
Uzbekistan,2001,31509
Uzbekistan,2002,40410
Uzbekistan,2003,37315
Uzbekistan,2004,37457
Uzbekistan,2005,42073
Uzbekistan,2006,42108
Uzbekistan,2007,44786
Uzbekistan,2008,44771
Uzbekistan,2009,49013
Uzbekistan,2010,46000
Uzbekistan,2011,45560
Uzbekistan,2012,47095
Uzbekistan,2013,47393
Uzbekistan,2014,47821
Uzbekistan,2015,48175
Uzbekistan,2016,48023
Uzbekistan,2017,43165
Uzbekistan,2018,41260
Uzbekistan,2019,46493
Uzbekistan,2020,45556
Uzbekistan,2021,48245
