Country_Name,Year,Yield_Rice
Sri Lanka,2014,38377
Sri Lanka,2015,38758
Sri Lanka,2016,38728
Sri Lanka,2017,30103
Sri Lanka,2018,37752
Sri Lanka,2019,47954
Sri Lanka,2020,48021
Sri Lanka,2021,45709
Tajikistan,1992,20184
Tajikistan,1993,18306
Tajikistan,1994,15385
Tajikistan,1995,18000
Tajikistan,1996,17268
Tajikistan,1997,27093
Tajikistan,1998,24566
Tajikistan,1999,24908
Tajikistan,2000,37900
Tajikistan,2001,26100
Tajikistan,2002,28523
Tajikistan,2003,34604
Tajikistan,2004,36408
Tajikistan,2005,32844
Tajikistan,2006,31415
Tajikistan,2007,30707
Tajikistan,2008,52616
Tajikistan,2009,43558
Tajikistan,2010,51740
Tajikistan,2011,58186
Tajikistan,2012,62517
Tajikistan,2013,66592
Tajikistan,2014,71960
Tajikistan,2015,72909
Tajikistan,2016,70534
Tajikistan,2017,78042
Tajikistan,2018,76490
Tajikistan,2019,85882
Tajikistan,2020,76744
Tajikistan,2021,52781
Turkmenistan,1992,22794
Turkmenistan,1993,22746
Turkmenistan,1994,24865
Turkmenistan,1995,27103
Turkmenistan,1996,12750
Turkmenistan,1997,8406
Turkmenistan,1998,6850
Turkmenistan,1999,11100
Turkmenistan,2000,3900
Turkmenistan,2001,11143
Turkmenistan,2002,19048
Turkmenistan,2003,26071
Turkmenistan,2004,22000
Turkmenistan,2005,21818
Turkmenistan,2006,24107
Turkmenistan,2007,13000
Turkmenistan,2008,11000
Turkmenistan,2009,16000
Turkmenistan,2010,17000
Turkmenistan,2011,15000
Turkmenistan,2012,13288
Turkmenistan,2013,11608
Turkmenistan,2014,10671
Turkmenistan,2015,10531
Turkmenistan,2016,10063
Turkmenistan,2017,41304
Turkmenistan,2018,41304
Turkmenistan,2019,40298
Turkmenistan,2020,42309
Turkmenistan,2021,40450
Uzbekistan,1992,32029
Uzbekistan,1993,32191
Uzbekistan,1994,31622
Uzbekistan,1995,19747
Uzbekistan,1996,19249
Uzbekistan,1997,21347
Uzbekistan,1998,25121
Uzbekistan,1999,26973
Uzbekistan,2000,35224
Uzbekistan,2001,23256
Uzbekistan,2002,28820
Uzbekistan,2003,28992
Uzbekistan,2004,28453
Uzbekistan,2005,32717
Uzbekistan,2006,36927
Uzbekistan,2007,41208
Uzbekistan,2008,33639
Uzbekistan,2009,44656
Uzbekistan,2010,36098
Uzbekistan,2011,51843
Uzbekistan,2012,42689
Uzbekistan,2013,75773
Uzbekistan,2014,72971
Uzbekistan,2015,60389
Uzbekistan,2016,62956
Uzbekistan,2017,55467
Uzbekistan,2018,52464
Uzbekistan,2019,48466
Uzbekistan,2020,61877
Uzbekistan,2021,68373
